request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,full payment keeps at least IDR 24768300 available.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,full payment keeps at least ZAR 20500 available.
request_28,429.49,affordable_later,wait,2024-07-15:1302.40,2024-07-15,none,wait keeps at least EUR 1100 available.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,full payment keeps at least ZAR 28300 available.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-06-05,none,installments keeps at least USD 900 available.
request_31,5948819.36,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,wait keeps at least IDR 16588900 available.
request_32,18005.57,affordable_later,wait,2025-02-15:40018,2025-02-15,none,wait keeps at least ZAR 35700 available.
request_33,46162.22,affordable_later,wait,2026-01-15:118000,2026-01-15,none,wait keeps at least INR 102100 available.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,full payment keeps at least INR 138500 available.
request_35,56578.66,affordable_later,wait,2025-12-15:212000,2025-12-15,none,wait keeps at least INR 106400 available.
request_36,921.23,affordable_later,wait,2026-07-15:3954,2026-07-15,none,wait keeps at least USD 2400 available.
request_37,5727304.78,affordable_later,wait,2024-04-15:14649000,2024-04-15,none,wait keeps at least IDR 17056200 available.
request_38,204.13,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,wait keeps at least EUR 400 available.
request_39,82378.32,affordable_later,wait,2026-05-15:208600,2026-05-15,none,wait keeps at least INR 213400 available.
request_40,696,affordable_later,wait,2024-06-15:1290.30,2024-06-15,none,wait keeps at least EUR 1500 available.
request_41,10832336.24,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,wait keeps at least IDR 25366600 available.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,full payment keeps at least INR 113100 available.
request_43,9868266.98,affordable_later,wait,2024-09-15:43339000,2024-09-15,none,wait keeps at least IDR 21398000 available.
request_44,42229.45,affordable_later,wait,2025-02-15:95800,2025-02-15,none,wait keeps at least INR 82900 available.
request_45,5270814.54,affordable_later,wait,2026-07-15:21983000,2026-07-15,none,wait keeps at least IDR 11149800 available.
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-31,none,installments keeps at least INR 84000 available.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,full payment keeps at least IDR 30049000 available.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,full payment keeps at least INR 71300 available.
request_49,14171250.14,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-19,none,installments keeps at least IDR 20275700 available.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,full payment keeps at least INR 99700 available.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,full payment keeps at least IDR 7811000 available.
request_52,21927.86,affordable_later,wait,2024-06-15:28870,2024-06-15,none,wait keeps at least INR 41500 available.
